Name,Year,Gross Export,Share
Afghanistan,2019,965000,0.00%
Angola,2019,3070000,0.00%
Albania,2019,1380000,0.00%
United Arab Emirates,2019,2580000000,1.00%
Argentina,2019,212000000,0.08%
Armenia,2019,768000,0.00%
American Samoa,2019,7650000,0.00%
Antarctica,2019,4090000,0.00%
Antigua and Barbuda,2019,616000,0.00%
Austria,2019,26200000,0.01%
Azerbaijan,2019,9940000,0.00%
Belgium,2019,885000000,0.34%
Benin,2019,515000,0.00%
Burkina Faso,2019,11200000,0.00%
Bangladesh,2019,636000000,0.25%
Bulgaria,2019,17500000,0.01%
Bahrain,2019,824000000,0.32%
The Bahamas,2019,2620000,0.00%
Bosnia and Herzegovina,2019,433000,0.00%
Belarus,2019,3150000,0.00%
Belize,2019,243000,0.00%
Bermuda,2019,1240000,0.00%
Bolivia,2019,1060000,0.00%
Brazil,2019,742000000,0.29%
Barbados,2019,2000000,0.00%
Brunei,2019,35300000,0.01%
Bhutan,2019,247000,0.00%
Botswana,2019,12400000,0.00%
Central African Republic,2019,494000,0.00%
Canada,2019,1470000000,0.57%
Cocos (Keeling) Islands,2019,6080000,0.00%
Switzerland,2019,1320000000,0.51%
Chile,2019,229000000,0.09%
China,2019,99100000000,38.35%
Côte d'Ivoire,2019,50200000,0.02%
Cameroon,2019,913000,0.00%
Democratic Republic of the Congo,2019,4040000,0.00%
Republic of the Congo,2019,166000,0.00%
Cook Islands,2019,7730000,0.00%
Colombia,2019,27300000,0.01%
Cabo Verde,2019,511000,0.00%
Costa Rica,2019,2760000,0.00%
Cuba,2019,415000,0.00%
Curaçao,2019,297000,0.00%
Christmas Island,2019,22600000,0.01%
Cayman Islands,2019,706000,0.00%
Cyprus,2019,6140000,0.00%
Czechia,2019,93300000,0.04%
Germany,2019,2230000000,0.86%
Djibouti,2019,1250000,0.00%
Dominica,2019,268000,0.00%
Denmark,2019,109000000,0.04%
Dominican Republic,2019,11000000,0.00%
Algeria,2019,2990000,0.00%
Ecuador,2019,9250000,0.00%
Egypt,2019,363000000,0.14%
Eritrea,2019,3620000,0.00%
Spain,2019,402000000,0.16%
Estonia,2019,9270000,0.00%
Ethiopia,2019,1300000,0.00%
Finland,2019,51500000,0.02%
Fiji,2019,317000000,0.12%
Falkland Islands,2019,173000,0.00%
France,2019,1050000000,0.41%
Micronesia,2019,3460000,0.00%
Gabon,2019,1420000,0.00%
United Kingdom,2019,10080000000,4.17%
Georgia,2019,59600000,0.02%
Ghana,2019,64300000,0.02%
Gibraltar,2019,100000,0.00%
Guinea,2019,3820000,0.00%
The Gambia,2019,114000,0.00%
Equatorial Guinea,2019,351000,0.00%
Greece,2019,22900000,0.01%
Grenada,2019,315000,0.00%
Guatemala,2019,3070000,0.00%
Guam,2019,6820000,0.00%
Guyana,2019,4130000,0.00%
Hong Kong,2019,5030000000,1.95%
Honduras,2019,1690000,0.00%
Croatia,2019,2740000,0.00%
Haiti,2019,165000,0.00%
Hungary,2019,43400000,0.02%
Indonesia,2019,4260000000,1.65%
India,2019,9180000000,3.56%
Ireland,2019,67400000,0.03%
Iran,2019,41000000,0.02%
Iraq,2019,17700000,0.01%
Iceland,2019,180000000,0.07%
Israel,2019,189000000,0.07%
Italy,2019,456000000,0.18%
Jamaica,2019,21900000,0.01%
Jordan,2019,104000000,0.04%
Japan,2019,32799999999,14.80%
Kazakhstan,2019,20400000,0.01%
Kenya,2019,47200000,0.02%
Kyrgyzstan,2019,3070000,0.00%
Cambodia,2019,59000000,0.02%
Kiribati,2019,13400000,0.01%
Saint Kitts and Nevis,2019,732000,0.00%
South Korea,2019,17100000000,6.62%
Kuwait,2019,306000000,0.12%
Laos,2019,20100000,0.01%
Lebanon,2019,29000000,0.01%
Liberia,2019,549000,0.00%
Libya,2019,2730000,0.00%
Saint Lucia,2019,1490000,0.00%
Sri Lanka,2019,155000000,0.06%
Lithuania,2019,4700000,0.00%
Luxembourg,2019,14100000,0.01%
Latvia,2019,16900000,0.01%
Macao,2019,42600000,0.02%
Morocco,2019,13400000,0.01%
Madagascar,2019,18000000,0.01%
Maldives,2019,40900000,0.02%
Mexico,2019,205000000,0.08%
Marshall Islands,2019,3750000,0.00%
North Macedonia,2019,1300000,0.00%
Mali,2019,6250000,0.00%
Malta,2019,6880000,0.00%
Myanmar,2019,94100000,0.04%
Montenegro,2019,1010000,0.00%
Mongolia,2019,33600000,0.01%
Northern Mariana Islands,2019,1290000,0.00%
Mozambique,2019,352000000,0.14%
Mauritania,2019,6430000,0.00%
Mauritius,2019,67500000,0.03%
Malawi,2019,404000,0.00%
Malaysia,2019,5940000000,2.30%
Namibia,2019,7700000,0.00%
New Caledonia,2019,327000000,0.13%
Norfolk Island,2019,8470000,0.00%
Nigeria,2019,58200000,0.02%
Nicaragua,2019,775000,0.00%
Niue,2019,595000,0.00%
Netherlands,2019,1900000000,0.74%
Norway,2019,163000000,0.06%
Nepal,2019,26900000,0.01%
Nauru,2019,31200000,0.01%
New Zealand,2019,6510000000,2.52%
Oman,2019,278000000,0.11%
Pakistan,2019,230000000,0.09%
Panama,2019,62000000,0.02%
Pitcairn,2019,177000,0.00%
Peru,2019,70600000,0.03%
Philippines,2019,1820000000,0.70%
Palau,2019,989000,0.00%
Papua New Guinea,2019,1750000000,0.68%
Poland,2019,419000000,0.16%
Portugal,2019,10500000,0.00%
Paraguay,2019,782000,0.00%
Palestine,2019,5720000,0.00%
French Polynesia,2019,41000000,0.02%
Qatar,2019,564000000,0.22%
Romania,2019,21900000,0.01%
Russia,2019,522000000,0.20%
Rwanda,2019,298000,0.00%
Saudi Arabia,2019,574000000,0.22%
Sudan,2019,7060000,0.00%
Senegal,2019,18100000,0.01%
Singapore,2019,8029999999,3.11%
"Saint Helena, Ascension and Tristan da Cunha",2019,545000,0.00%
Solomon Islands,2019,81100000,0.03%
Sierra Leone,2019,1320000,0.00%
El Salvador,2019,6470000,0.00%
Somalia,2019,1190000,0.00%
Serbia,2019,1240000,0.00%
Suriname,2019,12300000,0.00%
Slovakia,2019,3260000,0.00%
Slovenia,2019,63700000,0.02%
Sweden,2019,330000000,0.13%
Seychelles,2019,6960000,0.00%
Syria,2019,891000,0.00%
Togo,2019,4920000,0.00%
Thailand,2019,3010000000,1.17%
Timor-Leste,2019,21700000,0.01%
Tonga,2019,13900000,0.01%
Trinidad and Tobago,2019,25200000,0.01%
Tunisia,2019,2250000,0.00%
Turkey,2019,602000000,0.23%
Tuvalu,2019,2720000,0.00%
Tanzania,2019,34500000,0.01%
Uganda,2019,1480000,0.00%
Ukraine,2019,62700000,0.02%
Uruguay,2019,17100000,0.01%
United States of America,2019,8930000000,3.46%
Uzbekistan,2019,608000,0.00%
Saint Vincent and the Grenadines,2019,980000,0.00%
Venezuela,2019,4420000,0.00%
Vietnam,2019,4150000000,1.61%
Vanuatu,2019,57400000,0.02%
Wallis and Futuna,2019,2930000,0.00%
Samoa,2019,36700000,0.01%
Yemen,2019,176000000,0.07%
South Africa,2019,1040000000,0.40%
Zambia,2019,9380000,0.00%
Zimbabwe,2019,1840000,0.00%
Taiwan,2019,8600000000,3.33%
Undeclared,2019,1250000000,0.48%