Country,Foreign investment in Australia,Australian investment abroad,Type,Amount,Year
United States of America,229164,220635,Foreign investment in Australia,892.2,2001
United Kingdom,231699,75263,Foreign investment in Australia,892.2,2001
Japan,49794,25562,Foreign investment in Australia,892.2,2001
China ,3132,1885,Australian investment abord,541.6,2001
South Korea ,474,1987,Australian investment abord,541.6,2001
Singapore,39851,10415,Australian investment abord,541.6,2001
United States of America,238687,207596,Foreign investment in Australia,955.2,2002
United Kingdom,253439,93280,Foreign investment in Australia,955.2,2002
Japan,49494,20119,Foreign investment in Australia,955.2,2002
China ,2843,1223,Australian investment abord,556.0,2002
South Korea ,637,2950,Australian investment abord,556.0,2002
Singapore,25139,13536,Australian investment abord,556.0,2002
United States of America,287541,230504,Foreign investment in Australia,1044.7,2003
United Kingdom,259735,95045,Foreign investment in Australia,1044.7,2003
Japan,46417,21749,Foreign investment in Australia,1044.7,2003
China ,2989,1350,Australian investment abord,605.7,2003
South Korea ,618,3784,Australian investment abord,605.7,2003
Singapore,22233,13079,Australian investment abord,605.7,2003
United States of America,362279,279734,Foreign investment in Australia,1208.3,2004
United Kingdom,276387,118223,Foreign investment in Australia,1208.3,2004
Japan,49144,23975,Foreign investment in Australia,1208.3,2004
China ,2285,1262,Australian investment abord,720,2004
South Korea ,1378,3316,Australian investment abord,720,2004
Singapore,20256,15739,Australian investment abord,720,2004
United States of America,333987,303118,Foreign investment in Australia,1305.4,2005
United Kingdom,299740,88625,Foreign investment in Australia,1305.4,2005
Japan,51023,31752,Foreign investment in Australia,1305.4,2005
China ,2274,2034,Australian investment abord,776.4,2005
South Korea ,900,4728,Australian investment abord,776.4,2005
Singapore,19665,9049,Australian investment abord,776.4,2005
United States of America,383053,352765,Foreign investment in Australia,1555.3,2006
United Kingdom,359632,130427,Foreign investment in Australia,1555.3,2006
Japan,51679,41633,Foreign investment in Australia,1555.3,2006
China ,3508,3043,Australian investment abord,966.1,2006
South Korea ,4959,6898,Australian investment abord,966.1,2006
Singapore,27436,15102,Australian investment abord,966.1,2006
United States of America,433181,403513,Foreign investment in Australia,1756.3,2007
United Kingdom,411702,137958,Foreign investment in Australia,1756.3,2007
Japan,63380,37256,Foreign investment in Australia,1756.3,2007
China ,6187,5993,Australian investment abord,1116,2007
South Korea ,7796,9212,Australian investment abord,1116,2007
Singapore,39168,18493,Australian investment abord,1116,2007
United States of America,422558,377325,Foreign investment in Australia,1827.7,2008
United Kingdom,441980,162594,Foreign investment in Australia,1827.7,2008
Japan,88875,32027,Foreign investment in Australia,1827.7,2008
China ,8417,7140,Australian investment abord,1125.4,2008
South Korea ,7178,7575,Australian investment abord,1125.4,2008
Singapore,43249,23010,Australian investment abord,1125.4,2008
United States of America,474761,358538,Foreign investment in Australia,1956.6,2009
United Kingdom,496994,177327,Foreign investment in Australia,1956.6,2009
Japan,102583,33686,Foreign investment in Australia,1956.6,2009
China ,16488,6546,Australian investment abord,1197.9,2009
South Korea ,9206,6611,Australian investment abord,1197.9,2009
Singapore,41291,22090,Australian investment abord,1197.9,2009
United States of America,506476,365592,Foreign investment in Australia,2030.1,2010
United Kingdom,474573,191990,Foreign investment in Australia,2030.1,2010
Japan,118735,30830,Foreign investment in Australia,2030.1,2010
China ,19428,12133,Australian investment abord,1276.1,2010
South Korea ,9200,7464,Australian investment abord,1276.1,2010
Singapore,42058,26193,Australian investment abord,1276.1,2010
United States of America,527634,396147,Foreign investment in Australia,2107.1,2011
United Kingdom,464290,192646,Foreign investment in Australia,2107.1,2011
Japan,125713,36201,Foreign investment in Australia,2107.1,2011
China ,19675,17404,Australian investment abord,1309.1,2011
South Korea ,12782,9168,Australian investment abord,1309.1,2011
Singapore,49582,22551,Australian investment abord,1309.1,2011
United States of America,634050,435542,Foreign investment in Australia,2271.8,2012
United Kingdom,396409,227665,Foreign investment in Australia,2271.8,2012
Japan,158466,41123,Foreign investment in Australia,2271.8,2012
China ,23125,21575,Australian investment abord,1455,2012
South Korea ,13773,10872,Australian investment abord,1455,2012
Singapore,65318,27300,Australian investment abord,1455,2012
United States of America,721588,513053,Foreign investment in Australia,2546.7,2013
United Kingdom,448740,278819,Foreign investment in Australia,2546.7,2013
Japan,164143,52751,Foreign investment in Australia,2546.7,2013
China ,50152,37594,Australian investment abord,1723.1,2013
South Korea ,18490,13076,Australian investment abord,1723.1,2013
Singapore,73512,39472,Australian investment abord,1723.1,2013
United States of America,786969,604891,Foreign investment in Australia,2830.9,2014
United Kingdom,478470,329094,Foreign investment in Australia,2830.9,2014
Japan,187612,72407,Foreign investment in Australia,2830.9,2014
China ,66436,57670,Australian investment abord,1983.3,2014
South Korea ,21737,15484,Australian investment abord,1983.3,2014
Singapore,87449,46494,Australian investment abord,1983.3,2014
United States of America,882041,660845,Foreign investment in Australia,3074.1,2015
United Kingdom,485694,349840,Foreign investment in Australia,3074.1,2015
Japan,206876,94593,Foreign investment in Australia,3074.1,2015
China ,75397,62555,Australian investment abord,2151.3,2015
South Korea ,23405,15249,Australian investment abord,2151.3,2015
Singapore,98718,61022,Australian investment abord,2151.3,2015
United States of America,864556,675798,Foreign investment in Australia,3244.2,2016
United Kingdom,527588,344353,Foreign investment in Australia,3244.2,2016
Japan,223435,109015,Foreign investment in Australia,3244.2,2016
China ,85033,83040,Australian investment abord,2273.9,2016
South Korea ,24760,17800,Australian investment abord,2273.9,2016
Singapore,92049,58749,Australian investment abord,2273.9,2016
United States of America,917574,682434,Foreign investment in Australia,3358.2,2017
United Kingdom,499068,347841,Foreign investment in Australia,3358.2,2017
Japan,226689,125309,Foreign investment in Australia,3358.2,2017
China ,64156,77452,Australian investment abord,2369.4,2017
South Korea ,26976,19977,Australian investment abord,2369.4,2017
Singapore,87444,60021,Australian investment abord,2369.4,2017
United States of America,957196,730164,Foreign investment in Australia,3577.8,2018
United Kingdom,583843,406599,Foreign investment in Australia,3577.8,2018
Japan,234438,113351,Foreign investment in Australia,3577.8,2018
China ,68515,79221,Australian investment abord,2550.7,2018
South Korea ,30734,21333,Australian investment abord,2550.7,2018
Singapore,90202,73539,Australian investment abord,2550.7,2018
United States of America,1013510,836840,Foreign investment in Australia,3893.8,2019
United Kingdom,687291,510324,Foreign investment in Australia,3893.8,2019
Japan,243891,139461,Foreign investment in Australia,3893.8,2019
China ,79333,85327,Australian investment abord,2959.4,2019
South Korea ,31676,22182,Australian investment abord,2959.4,2019
Singapore,100118,83702,Australian investment abord,2959.4,2019
United States of America,929402,863645,Foreign investment in Australia,3990.9,2020
United Kingdom,737646,615167,Foreign investment in Australia,3990.9,2020
Japan,264525,112381,Foreign investment in Australia,3990.9,2020
China ,79175,64029,Australian investment abord,3043.7,2020
South Korea ,32684,24908,Australian investment abord,3043.7,2020
Singapore,116509,63193,Australian investment abord,3043.7,2020